"Comunidades y Ciudades Autónomas";"Grupos ECOICOP";"Periodo";"Total"
"16 País Vasco";"Índice general";2024;115,388
"16 País Vasco";"Índice general";2023;111,962
"16 País Vasco";"Índice general";2022;108,049
"16 País Vasco";"Índice general";2021;100
"16 País Vasco";"Índice general";2020;97,002
"16 País Vasco";"Índice general";2019;97,136
"16 País Vasco";"Índice general";2018;96,215
"16 País Vasco";"Índice general";2017;94,7
"16 País Vasco";"Índice general";2016;92,858
"16 País Vasco";"Índice general";2015;92,845
"16 País Vasco";"Índice general";2014;93,093
"16 País Vasco";"Índice general";2013;92,943
"16 País Vasco";"Índice general";2012;91,502
"16 País Vasco";"Índice general";2011;89,434
"16 País Vasco";"Índice general";2010;86,749
"16 País Vasco";"Índice general";2009;85,306
"16 País Vasco";"Índice general";2008;85,077
"16 País Vasco";"Índice general";2007;81,723
"16 País Vasco";"Índice general";2006;79,46
"16 País Vasco";"Índice general";2005;76,844
"16 País Vasco";"Índice general";2004;74,393
"16 País Vasco";"Índice general";2003;72,204
"16 País Vasco";"Índice general";2002;70,221
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2024;105,703
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2023;101,921
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2022;115,801
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2021;100
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2020;89,821
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2019;92,869
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2018;94,25
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2017;91,91
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2016;88,648
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2015;92,472
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2014;94,037
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2013;92,222
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2012;91,255
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2011;86,35
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2010;80,093
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2009;77,702
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2008;76,27
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2007;71,71
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2006;69,226
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2005;65,155
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2004;62,068
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2003;59,545
"16 País Vasco";"04 Vivienda, agua, electricidad, gas y otros combustibles";2002;57,862
