Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
16 País Vasco;Índice general;Variación de las medias anuales;2024;3,1
16 País Vasco;Índice general;Variación de las medias anuales;2023;3,6
16 País Vasco;Índice general;Variación de las medias anuales;2022;8,0
16 País Vasco;Índice general;Variación de las medias anuales;2021;3,1
16 País Vasco;Índice general;Variación de las medias anuales;2020;-0,1
16 País Vasco;Índice general;Variación de las medias anuales;2019;1,0
16 País Vasco;Índice general;Variación de las medias anuales;2018;1,6
16 País Vasco;Índice general;Variación de las medias anuales;2017;2,0
16 País Vasco;Índice general;Variación de las medias anuales;2016;0,0
16 País Vasco;Índice general;Variación de las medias anuales;2015;-0,3
16 País Vasco;Índice general;Variación de las medias anuales;2014;0,2
16 País Vasco;Índice general;Variación de las medias anuales;2013;1,6
16 País Vasco;Índice general;Variación de las medias anuales;2012;2,3
16 País Vasco;Índice general;Variación de las medias anuales;2011;3,1
16 País Vasco;Índice general;Variación de las medias anuales;2010;1,7
16 País Vasco;Índice general;Variación de las medias anuales;2009;0,3
16 País Vasco;Índice general;Variación de las medias anuales;2008;4,1
16 País Vasco;Índice general;Variación de las medias anuales;2007;2,8
16 País Vasco;Índice general;Variación de las medias anuales;2006;3,4
16 País Vasco;Índice general;Variación de las medias anuales;2005;3,3
16 País Vasco;Índice general;Variación de las medias anuales;2004;3,0
16 País Vasco;Índice general;Variación de las medias anuales;2003;2,8
16 País Vasco;Índice general;Variación de las medias anuales;2002;""
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2024;3,7
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2023;-12,0
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2022;15,8
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2021;11,3
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2020;-3,3
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2019;-1,5
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2018;2,5
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2017;3,7
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2016;-4,1
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2015;-1,7
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2014;2,0
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2013;1,1
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2012;5,7
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2011;7,8
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2010;3,1
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2009;1,9
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2008;6,4
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2007;3,6
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2006;6,2
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2005;5,0
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2004;4,2
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2003;2,9
16 País Vasco;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación de las medias anuales;2002;""
